bin_timestamp,bin_index,active_jobs,cpu_ReadMB_sum,cpu_WriteMB_sum,cpu_ReadMB_max,cpu_WriteMB_max,cpu_CPUUtilization_mean,cpu_CPUUtilization_max,cpu_RSS_max,gpu_utilization_gpu_pct_mean,gpu_utilization_gpu_pct_max,gpu_memory_used_MiB_max,gpu_power_draw_W_mean
2021-06-12 03:40:00+00:00,16460,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:45:00+00:00,16461,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:50:00+00:00,16462,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:55:00+00:00,16463,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:00:00+00:00,16464,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:05:00+00:00,16465,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:10:00+00:00,16466,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:15:00+00:00,16467,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:20:00+00:00,16468,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:25:00+00:00,16469,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:30:00+00:00,16470,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:35:00+00:00,16471,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:40:00+00:00,16472,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:45:00+00:00,16473,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:50:00+00:00,16474,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 04:55:00+00:00,16475,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:00:00+00:00,16476,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:05:00+00:00,16477,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:10:00+00:00,16478,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:15:00+00:00,16479,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:20:00+00:00,16480,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:25:00+00:00,16481,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:30:00+00:00,16482,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:35:00+00:00,16483,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:40:00+00:00,16484,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:45:00+00:00,16485,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:50:00+00:00,16486,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 05:55:00+00:00,16487,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:00:00+00:00,16488,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:05:00+00:00,16489,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:10:00+00:00,16490,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:15:00+00:00,16491,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:20:00+00:00,16492,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:25:00+00:00,16493,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:30:00+00:00,16494,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:35:00+00:00,16495,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:40:00+00:00,16496,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:45:00+00:00,16497,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:50:00+00:00,16498,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 06:55:00+00:00,16499,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:00:00+00:00,16500,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:05:00+00:00,16501,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:10:00+00:00,16502,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:15:00+00:00,16503,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:20:00+00:00,16504,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:25:00+00:00,16505,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:30:00+00:00,16506,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:35:00+00:00,16507,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:40:00+00:00,16508,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:45:00+00:00,16509,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:50:00+00:00,16510,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 07:55:00+00:00,16511,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 08:00:00+00:00,16512,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 08:05:00+00:00,16513,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 08:10:00+00:00,16514,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 08:15:00+00:00,16515,5,0,0,0,0,0,0,0,0,0,0,0
